Injection,Layer,TensorIndex,Bit,n_injections,masked,non_critical,critical
15537,layer3.2.conv2,"(35, 48, 0, 1)",14,12630,0,12630,0
15538,layer3.2.conv2,"(40, 28, 1, 0)",26,12630,10,12617,3
15539,layer3.2.conv2,"(36, 37, 1, 2)",0,12630,12630,0,0
15540,layer3.2.conv2,"(54, 62, 1, 0)",4,12630,12630,0,0
15541,layer3.2.conv2,"(20, 49, 0, 0)",29,12630,1,12629,0
15542,layer3.2.conv2,"(6, 2, 2, 1)",4,12630,12630,0,0
15543,layer3.2.conv2,"(13, 3, 1, 1)",3,12630,12630,0,0
15544,layer3.2.conv2,"(18, 24, 0, 1)",25,12630,5,12625,0
15545,layer3.2.conv2,"(2, 7, 2, 2)",6,12630,12630,0,0
15546,layer3.2.conv2,"(36, 38, 2, 2)",19,12630,19,12611,0
15547,layer3.2.conv2,"(49, 42, 1, 0)",4,12630,12630,0,0
15548,layer3.2.conv2,"(23, 35, 2, 0)",9,12630,12630,0,0
15549,layer3.2.conv2,"(52, 7, 1, 2)",5,12630,12630,0,0
15550,layer3.2.conv2,"(31, 23, 2, 0)",30,12630,0,673,11957
15551,layer3.2.conv2,"(20, 40, 0, 2)",4,12630,12630,0,0
15552,layer3.2.conv2,"(52, 55, 1, 2)",9,12630,12630,0,0
15553,layer3.2.conv2,"(27, 52, 1, 1)",27,12630,0,12630,0
15554,layer3.2.conv2,"(58, 52, 2, 1)",18,12630,0,12630,0
15555,layer3.2.conv2,"(50, 28, 1, 2)",30,12630,7,269,12354
15556,layer3.2.conv2,"(44, 42, 2, 2)",28,12630,0,12627,3
15557,layer3.2.conv2,"(14, 10, 2, 2)",30,12630,214,12373,43
15558,layer3.2.conv2,"(16, 36, 2, 2)",7,12630,12630,0,0
15559,layer3.2.conv2,"(56, 2, 1, 0)",13,12630,3434,9196,0
15560,layer3.2.conv2,"(61, 58, 1, 1)",9,12630,12630,0,0
15561,layer3.2.conv2,"(52, 56, 2, 0)",10,12630,12630,0,0
15562,layer3.2.conv2,"(49, 14, 0, 1)",4,12630,12630,0,0
15563,layer3.2.conv2,"(43, 28, 1, 1)",3,12630,12630,0,0
15564,layer3.2.conv2,"(61, 50, 0, 0)",11,12630,12630,0,0
15565,layer3.2.conv2,"(19, 3, 1, 1)",20,12630,0,12630,0
